
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for      2 toks uses nextword             err=0.0000
best stump for      8 toks uses nextword             err=0.1250
best stump for      3 toks uses nextword             err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for     28 toks uses previob              err=0.0000
best stump for     48 toks uses previob              err=0.0208
best stump for     46 toks uses nextword             err=0.0000
best stump for     28 toks uses nextword             err=0.0357
best stump for     25 toks uses previob              err=0.0000
best stump for     12 toks uses nextword             err=0.0833
best stump for      3 toks uses None                 err=0.3333
best stump for      9 toks uses previob              err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for      2 toks uses nextword             err=0.0000
best stump for      3 toks uses None                 err=0.3333
best stump for      7 toks uses previob              err=0.0000
best stump for      3 toks uses None                 err=0.3333
best stump for     15 toks uses nextword             err=0.0000
best stump for      9 toks uses previob              err=0.1111
best stump for     15 toks uses nextword             err=0.1333
best stump for      7 toks uses previob              err=0.0000
best stump for     11 toks uses None                 err=0.1818
best stump for      4 toks uses previob              err=0.0000
best stump for      6 toks uses nextword             err=0.0000
best stump for      7 toks uses previob              err=0.1429
best stump for      6 toks uses nextword             err=0.0000
best stump for      5 toks uses previob              err=0.0000
best stump for     11 toks uses nextword             err=0.0000
best stump for     13 toks uses previob              err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for      7 toks uses None                 err=0.2857
best stump for      9 toks uses nextword             err=0.0000
best stump for     67 toks uses previob              err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for     12 toks uses nextword             err=0.0000
best stump for     32 toks uses prevword             err=0.1562
best stump for      8 toks uses nextword             err=0.2500
best stump for      6 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      5 toks uses previob              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for     10 toks uses nextword             err=0.1000
best stump for      5 toks uses nextword             err=0.0000
best stump for      9 toks uses previob              err=0.0000
best stump for      6 toks uses previob              err=0.0000
best stump for     15 toks uses prevword             err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for     94 toks uses previob              err=0.2340
best stump for      4 toks uses nextpos              err=0.0000
best stump for     88 toks uses None                 err=0.2386
best stump for      5 toks uses prevword             err=0.0000
best stump for     17 toks uses previob              err=0.0000
best stump for     97 toks uses previob              err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for     23 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     16 toks uses prevword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      7 toks uses prevpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for     34 toks uses previob              err=0.0294
best stump for     14 toks uses None                 err=0.0714
best stump for     13 toks uses previob              err=0.1538
