
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
 26:  ... loglikelihood=-3930.116625734878	0.9852857346444349
 27:  ... loglikelihood=-3832.1310917300643	0.9856241983753741
 28:  ... loglikelihood=-3740.9074278335597	0.9860873592703434
 29:  ... loglikelihood=-3655.73545782413	0.9864614507624341
 30:  ... loglikelihood=-3576.002071956384	0.986888983896252
 31:  ... loglikelihood=-3501.1751653253014	0.9871383782243124
 32:  ... loglikelihood=-3430.7906765012694	0.9874234003135243
 33:  ... loglikelihood=-3364.4420413283983	0.9878509334473422
 34:  ... loglikelihood=-3301.771547554887	0.9880468861336753
 35:  ... loglikelihood=-3242.4631999324442	0.9882962804617358
 36:  ... loglikelihood=-3186.2367960598913	0.9885991164315234
 37:  ... loglikelihood=-3132.842980247536	0.9888485107595839
 38:  ... loglikelihood=-3082.059092843716	0.9890979050876443
 39:  ... loglikelihood=-3033.685670511489	0.989258230012826
 40:  ... loglikelihood=-2987.5434821522977	0.9894363688185834
 41:  ... loglikelihood=-2943.4710078346898	0.9895788798631894
 42:  ... loglikelihood=-2901.322285836941	0.9896857631466439
 43:  ... loglikelihood=-2860.965066921015	0.9898639019524013
 44:  ... loglikelihood=-2822.2792260958713	0.9899885991164316
 45:  ... loglikelihood=-2785.1553910371454	0.9901311101610375
 46:  ... loglikelihood=-2749.4937534981	0.9902736212056434
 47:  ... loglikelihood=-2715.203035845607	0.9903805044890979
