
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
 32:  ... loglikelihood=-8823.399550849348	0.9908257589213316
 33:  ... loglikelihood=-8632.01717917783	0.9911114886518962
 34:  ... loglikelihood=-8450.960037410468	0.9913199941309568
 35:  ... loglikelihood=-8279.37060830693	0.9914744426339648
 36:  ... loglikelihood=-8116.485542602755	0.9916443359872734
 37:  ... loglikelihood=-7961.622987460394	0.9918451190411837
 38:  ... loglikelihood=-7814.171911460235	0.9920459020950939
 39:  ... loglikelihood=-7673.583068143506	0.992223517873553
 40:  ... loglikelihood=-7539.3613120376185	0.9923702439514105
 41:  ... loglikelihood=-7411.059036922985	0.9925401373047191
 42:  ... loglikelihood=-7288.270549816085	0.9926482512568247
 43:  ... loglikelihood=-7170.627228667373	0.9927563652089302
 44:  ... loglikelihood=-7057.793339265189	0.9928644791610357
 45:  ... loglikelihood=-6949.462408873281	0.9929803155382917
 46:  ... loglikelihood=-6845.354071891136	0.9930575397897956
 47:  ... loglikelihood=-6745.21131722446	0.9931733761670515
 48:  ... loglikelihood=-6648.798078766145	0.993242877993405
 49:  ... loglikelihood=-6555.897119957754	0.9932969349694578
 50:  ... loglikelihood=-6466.308171255949	0.9934436610473153
 51:  ... loglikelihood=-6379.846285797205	0.9935208852988192
 52:  ... loglikelihood=-6296.340383899075	0.9935903871251728
 53:  ... loglikelihood=-6215.631961477157	0.993690778652128
